species_a	species_b	n_families	median_ks	median_ka	min_ks	max_ks	n_saturated
Obas	Ococ	69	0.0235	0.0075	-0.0000	0.1236	0
Cgig	Sund	69	0.0521	0.0181	0.0229	0.1443	0
Cjam	Sund	69	0.0992	0.0263	0.0416	0.2109	0
Cgig	Cjam	69	0.0998	0.0294	0.0354	0.1809	0
Cgig	Ococ	69	0.1871	0.0555	0.1205	0.4264	0
Obas	Sund	69	0.1883	0.0498	0.1120	0.4115	0
Ococ	Sund	69	0.1884	0.0535	0.1254	0.4659	0
Cgig	Obas	69	0.1911	0.0556	0.1207	0.4069	0
Cjam	Obas	69	0.1981	0.0531	0.0962	0.4559	0
Cjam	Ococ	69	0.1998	0.0534	0.1013	0.4611	0
Pami	Pole	69	0.2860	0.0549	0.1478	0.9729	0
Cgig	Tfru	69	0.3311	0.0943	0.2052	0.5117	0
Cjam	Tfru	69	0.3445	0.0880	0.1777	0.5408	0
Sund	Tfru	69	0.3490	0.0926	0.1768	0.5612	0
Obas	Tfru	69	0.3599	0.0932	0.2292	0.6175	0
Ococ	Tfru	69	0.3615	0.0991	0.2331	0.6328	0
Ccac	Cgig	69	0.3694	0.1122	0.2096	0.7170	0
Ccac	Cjam	69	0.3743	0.1085	0.2273	0.7196	0
Ccac	Obas	69	0.3763	0.1090	0.2595	0.7522	0
Ccac	Tfru	69	0.3814	0.1055	0.2097	0.7062	0
Ccac	Sund	69	0.3850	0.1040	0.2242	0.6827	0
Ccac	Ococ	69	0.3852	0.1079	0.2450	0.7473	0
Dcar	Sof	69	0.3981	0.0892	0.2379	1.8479	0
Bvul	Sole	69	0.3998	0.1243	0.2729	0.7798	0
Pole	Sund	69	0.4057	0.1072	0.2168	0.8797	0
Cgig	Pole	69	0.4093	0.1237	0.2369	0.8234	0
Cjam	Pole	69	0.4189	0.1130	0.2478	0.8178	0
Pami	Sund	69	0.4274	0.1109	0.2692	0.9919	0
Cgig	Pami	69	0.4292	0.1265	0.2537	0.9574	0
Obas	Pole	69	0.4298	0.1070	0.2730	0.8563	0
Ococ	Pole	69	0.4342	0.1118	0.2668	0.8535	0
Cjam	Pami	69	0.4367	0.1195	0.2942	0.9745	0
Pole	Tfru	69	0.4594	0.1206	0.3001	0.9151	0
Obas	Pami	69	0.4620	0.1097	0.2967	1.2071	0
Ococ	Pami	69	0.4639	0.1170	0.2718	1.2479	0
Ccac	Mcry	69	0.4743	0.1589	0.3017	1.0305	0
