stem_key_a	stem_key_b	n_evidence	example_family	source	added_in
apg	atg	6	R1_OG0006478	UniProt:Q8RUS5(Arabidopsis thaliana) synonyms=ATG9|APG9 ;; Araport11:AT2G31260 synonyms=APG9|ATAPG9|ATG9	v1
cop	csn	5	R1_OG0007289	UniProt:Q8L5U0(Arabidopsis thaliana) synonyms=CSN4|COP8|FUS4 ;; Araport11:AT5G42970 synonyms=ATS4|COP14|COP8|CSN4|EMB134|FUS4	v1
npf	nrt	4	R1_OG0001931	Araport11:AT1G12110 synonyms=ATNRT1|AtNPF6.3|B-1|CHL1|CHL1-1|NPF6.3 ;; Araport11:AT1G69850 synonyms=AIT1|ATNRT1:2|AtNPF4.6|NPF4.6|NRT1.2|NRT1:2	v1
cyp	fah	4	R1_OG0002280	UniProt:Q42600(Arabidopsis thaliana) synonyms=CYP84A1|FAH1 ;; Araport11:AT4G36220 synonyms=CYP84A1|FAH1	v1
hb	zhd	4	R1_OG0005151	UniProt:Q9SB61(Arabidopsis thaliana) synonyms=ZHD1|HB22|MEE68 ;; Araport11:AT4G24660 synonyms=ATHB22|HB22|MEE68|ZHD2	v1
med	rfr	4	R1_OG0005719	UniProt:Q9LUG9(Arabidopsis thaliana) synonyms=MED33A|MED24A|MED5_2|MED5A|RFR1 ;; Araport11:AT3G23590 synonyms=MED33A|RFR1	v1
xt	xxt	4	R1_OG0007742	UniProt:Q9LZJ3(Arabidopsis thaliana) synonyms=XXT1|XT1 ;; Araport11:AT3G62720 synonyms=ATXT1|AtXXT1|XT1|XXT1	v1
tbl	xoat	4	R1_OG0009285	UniProt:Q0D3C8(Oryza sativa subsp. japonica) synonyms=XOAT7|TBL14 ;; UniProt:Q0D3C8(Oryza sativa subsp. japonica) synonyms=XOAT7|TBL14	v1
nup	sar	4	R1_OG0010556	UniProt:Q9C811-2(Arabidopsis thaliana) synonyms=NUP160|SAR1 ;; Araport11:AT1G33410 synonyms=ATNUP160|NUP160|SAR1	v1
cgl	gnti	4	R1_OG0015921	UniProt:Q9XGM8(Arabidopsis thaliana) synonyms=GNTI|CGL1 ;; Araport11:AT4G38240 synonyms=CGL|CGL1|GNTI	v1
csn	fus	3	R1_OG0002505	UniProt:Q8W207(Arabidopsis thaliana) synonyms=CSN2|FUS12 ;; Araport11:AT2G26990 synonyms=ATCSN2|COP12|CSN2|FUS12	v1
dfb	fpgs	3	R1_OG0006811	UniProt:F4K2A1-2(Arabidopsis thaliana) synonyms=FPGS1|ATDFB|DFB|FPGS2|FPGSB ;; Araport11:AT5G05980 synonyms=ATDFB|DFB|FPGS1	v1
nudt	nudx	3	R1_OG0012007	UniProt:Q9C6Z2(Arabidopsis thaliana) synonyms=NUDT25|NUDX25 ;; UniProt:P93740(Arabidopsis thaliana) synonyms=NUDT23|NUDX23	v1
apum	pum	2	R1_OG0000059	Araport11:AT1G72320 synonyms=APUM23|PUM23 ;; Araport11:AT2G29190 synonyms=APUM2|PUM2	v1
dnm	drp	2	R1_OG0000414	UniProt:O00429-3(Homo sapiens) synonyms=DNM1L|DLP1|DRP1 ;; UniProt:O00429-2(Homo sapiens) synonyms=DNM1L|DLP1|DRP1	v1
ermo	sec	2	R1_OG0000610	UniProt:Q9SFU0(Arabidopsis thaliana) synonyms=SEC24A|ERMO2 ;; Araport11:AT3G07100 synonyms=AtSEC24A|ERMO2|SEC24A	v1
ads	fad	2	R1_OG0000960	UniProt:Q949X0(Arabidopsis thaliana) synonyms=ADS3|FAD5|FADB ;; Araport11:AT3G15850 synonyms=ADS3|AtADS3|FAD5|FADB|JB67	v1
cals	gsl	2	R1_OG0001319	UniProt:Q9S9U0(Arabidopsis thaliana) synonyms=CALS11|GSL1 ;; UniProt:Q9ZT82(Arabidopsis thaliana) synonyms=CALS12|GSL5|PMR4	v1
del	e	2	R1_OG0001465	UniProt:Q8LSZ4(Arabidopsis thaliana) synonyms=E2FE|DEL1|E2L3|ELP2 ;; Araport11:AT3G48160 synonyms=DEL1|E2FE|E2L3	v1
ats	rpn	2	R1_OG0001995	UniProt:Q9LP45(Arabidopsis thaliana) synonyms=RPN6|ATS9|RPN6A ;; Araport11:AT1G29150 synonyms=ATS9|RPN6	v1
alpha-snap	asnap	2	R1_OG0002260	Araport11:AT3G56190 synonyms=ALPHA-SNAP2|ASNAP ;; Araport11:AT3G56190 synonyms=ALPHA-SNAP2|ASNAP	v1
pol	til	2	R1_OG0002313	UniProt:F4HW04(Arabidopsis thaliana) synonyms=POL2A|ABO4|EMB142|EMB2284|EMB529|ESD7 ;; Araport11:AT1G08260 synonyms=ABO4|EMB142|EMB2284|EMB529|ESD7|POL2A	v1
lpcat	lplat	2	R1_OG0002426	UniProt:F4IDU4(Arabidopsis thaliana) synonyms=LPCAT1|LPLAT1 ;; Araport11:AT1G12640 synonyms=AtLPLAT1|LPCAT1|LPLAT1	v1
orth	vim	2	R1_OG0002722	UniProt:Q8VYZ0-2(Arabidopsis thaliana) synonyms=ORTH2|VIM1 ;; Araport11:AT1G57820 synonyms=ORTH2|VIM1	v1
cdp	parc	2	R1_OG0002944	UniProt:Q8VY16(Arabidopsis thaliana) synonyms=CDP1|ARC6H|PARC6|SUBA2 ;; Araport11:AT3G19180 synonyms=ARC6H|ATCDP1|CDP1|PARC6	v1
emb	tad	2	R1_OG0003172	UniProt:Q6IDB6(Arabidopsis thaliana) synonyms=TAD2|EMB2191 ;; Araport11:AT1G48175 synonyms=AtTAD2|TAD2|emb2191	v1
pldp	plpzeta	2	R1_OG0003619	UniProt:Q9M9W8(Arabidopsis thaliana) synonyms=PLPZETA2|PLDP2 ;; UniProt:Q9M9W8(Arabidopsis thaliana) synonyms=PLPZETA2|PLDP2	v1
atatg	atg	2	R1_OG0003660	Araport11:AT3G62770 synonyms=ATG18a|AtATG18a|PEUP2 ;; Araport11:AT3G62770 synonyms=ATG18a|AtATG18a|PEUP2	v1
